|_ID|HO_LLEGA|P|T|T_TRAFICO|
|001|22:12:20|2|2|CICLISTA |
|002|22:12:22|1|2|PEATON   |
|003|22:12:23|2|3|CICLISTA |
|004|22:12:25|2|4|CICLISTA |
|005|22:12:27|1|1|PEATON   |
|006|22:12:28|2|5|CICLISTA |
|007|22:12:30|2|1|CICLISTA |
|008|22:12:31|2|5|CICLISTA |
|009|22:12:33|3|4|AUTOMOVIL|
|010|22:12:36|2|2|CICLISTA |
|011|22:12:38|3|5|AUTOMOVIL|
|012|22:12:40|3|5|AUTOMOVIL|
|013|22:12:41|2|3|CICLISTA |
|014|22:12:43|3|5|AUTOMOVIL|
|015|22:12:45|3|1|AUTOMOVIL|
|016|22:12:47|3|2|AUTOMOVIL|
|017|22:12:48|3|5|AUTOMOVIL|
|018|22:12:52|3|2|AUTOMOVIL|
|019|22:12:56|2|5|CICLISTA |
|020|22:12:59|2|3|CICLISTA |
|021|22:13:00|3|4|AUTOMOVIL|
|022|22:13:01|1|5|PEATON   |
|023|22:13:04|2|2|CICLISTA |
|024|22:13:05|3|2|AUTOMOVIL|
|025|22:13:08|2|4|CICLISTA |
|026|22:13:11|2|3|CICLISTA |
|027|22:13:12|1|1|PEATON   |
|028|22:13:16|3|3|AUTOMOVIL|
|029|22:13:19|1|1|PEATON   |
|030|22:13:20|3|1|AUTOMOVIL|
|031|22:13:24|2|1|CICLISTA |
|032|22:13:28|3|5|AUTOMOVIL|
|033|22:13:29|3|2|AUTOMOVIL|
|034|22:13:33|3|4|AUTOMOVIL|
|035|22:13:37|1|5|PEATON   |
|036|22:13:41|2|2|CICLISTA |
|037|22:13:43|2|3|CICLISTA |
|038|22:13:46|2|2|CICLISTA |
|039|22:13:47|2|3|CICLISTA |
|040|22:13:48|3|1|AUTOMOVIL|
|041|22:13:51|2|5|CICLISTA |
|042|22:13:54|3|2|AUTOMOVIL|
|043|22:13:57|3|5|AUTOMOVIL|
|044|22:14:01|2|1|CICLISTA |
|045|22:14:02|2|2|CICLISTA |
|046|22:14:05|3|4|AUTOMOVIL|
|047|22:14:09|1|3|PEATON   |
|048|22:14:10|1|3|PEATON   |
|049|22:14:12|2|3|CICLISTA |
|050|22:14:14|3|1|AUTOMOVIL|
|051|22:14:15|2|2|CICLISTA |
|052|22:14:18|2|5|CICLISTA |
|053|22:14:20|2|5|CICLISTA |
|054|22:14:23|3|3|AUTOMOVIL|
|055|22:14:26|1|4|PEATON   |
|056|22:14:28|2|3|CICLISTA |
|057|22:14:29|3|4|AUTOMOVIL|
|058|22:14:33|3|3|AUTOMOVIL|
|059|22:14:36|2|3|CICLISTA |
|060|22:14:38|2|5|CICLISTA |
|061|22:14:41|2|3|CICLISTA |
|062|22:14:43|1|1|PEATON   |
|063|22:14:44|3|1|AUTOMOVIL|
|064|22:14:47|2|1|CICLISTA |
|065|22:14:51|3|1|AUTOMOVIL|
|066|22:14:52|1|4|PEATON   |
|067|22:14:56|1|1|PEATON   |
|068|22:14:59|1|5|PEATON   |
|069|22:15:00|2|5|CICLISTA |
|070|22:15:02|3|2|AUTOMOVIL|
|071|22:15:06|3|2|AUTOMOVIL|
|072|22:15:09|3|2|AUTOMOVIL|
|073|22:15:10|3|5|AUTOMOVIL|
|074|22:15:13|1|5|PEATON   |
|075|22:15:16|2|5|CICLISTA |
|076|22:15:17|2|4|CICLISTA |
|077|22:15:20|2|1|CICLISTA |
|078|22:15:21|1|1|PEATON   |
|079|22:15:22|2|5|CICLISTA |
|080|22:15:23|2|3|CICLISTA |
|081|22:15:26|3|2|AUTOMOVIL|
|082|22:15:27|1|4|PEATON   |
|083|22:15:30|2|5|CICLISTA |
|084|22:15:34|3|1|AUTOMOVIL|
|085|22:15:38|3|3|AUTOMOVIL|
|086|22:15:41|3|5|AUTOMOVIL|
|087|22:15:44|3|2|AUTOMOVIL|
|088|22:15:45|1|5|PEATON   |
|089|22:15:48|2|1|CICLISTA |
|090|22:15:49|2|3|CICLISTA |
|091|22:15:50|3|4|AUTOMOVIL|
|092|22:15:54|2|4|CICLISTA |
|093|22:15:55|2|4|CICLISTA |
|094|22:15:58|2|5|CICLISTA |
|095|22:16:00|1|5|PEATON   |
|096|22:16:02|2|4|CICLISTA |
|097|22:16:03|2|3|CICLISTA |
|098|22:16:05|3|3|AUTOMOVIL|
|099|22:16:06|3|2|AUTOMOVIL|
|100|22:16:07|2|2|CICLISTA |
|101|22:16:10|1|1|PEATON   |
|102|22:16:14|1|3|PEATON   |
|103|22:16:16|3|4|AUTOMOVIL|
|104|22:16:20|2|4|CICLISTA |
|105|22:16:22|2|1|CICLISTA |
|106|22:16:23|3|5|AUTOMOVIL|
