|_ID|HO_LLEGA|P|TIME_P|T_TRAFICO|
|009|22:12:33|3|4|AUTOMOVIL|
|011|22:12:38|3|5|AUTOMOVIL|
|012|22:12:40|3|5|AUTOMOVIL|
|014|22:12:43|3|5|AUTOMOVIL|
|015|22:12:45|3|1|AUTOMOVIL|
|016|22:12:47|3|2|AUTOMOVIL|
|017|22:12:48|3|5|AUTOMOVIL|
|018|22:12:52|3|2|AUTOMOVIL|
|021|22:13:00|3|4|AUTOMOVIL|
|024|22:13:05|3|2|AUTOMOVIL|
|028|22:13:16|3|3|AUTOMOVIL|
|030|22:13:20|3|1|AUTOMOVIL|
|032|22:13:28|3|5|AUTOMOVIL|
|033|22:13:29|3|2|AUTOMOVIL|
|034|22:13:33|3|4|AUTOMOVIL|
|040|22:13:48|3|1|AUTOMOVIL|
|042|22:13:54|3|2|AUTOMOVIL|
|043|22:13:57|3|5|AUTOMOVIL|
|046|22:14:05|3|4|AUTOMOVIL|
|050|22:14:14|3|1|AUTOMOVIL|
|054|22:14:23|3|3|AUTOMOVIL|
|057|22:14:29|3|4|AUTOMOVIL|
|058|22:14:33|3|3|AUTOMOVIL|
|063|22:14:44|3|1|AUTOMOVIL|
|065|22:14:51|3|1|AUTOMOVIL|
|070|22:15:02|3|2|AUTOMOVIL|
|071|22:15:06|3|2|AUTOMOVIL|
|072|22:15:09|3|2|AUTOMOVIL|
|073|22:15:10|3|5|AUTOMOVIL|
|081|22:15:26|3|2|AUTOMOVIL|
|084|22:15:34|3|1|AUTOMOVIL|
|085|22:15:38|3|3|AUTOMOVIL|
|086|22:15:41|3|5|AUTOMOVIL|
|087|22:15:44|3|2|AUTOMOVIL|
|091|22:15:50|3|4|AUTOMOVIL|
|098|22:16:05|3|3|AUTOMOVIL|
|099|22:16:06|3|2|AUTOMOVIL|
|103|22:16:16|3|4|AUTOMOVIL|
|106|22:16:23|3|5|AUTOMOVIL|
