|_ID|HO_LLEGA|P|TIME_P|T_TRAFICO|
|001|22:12:20|2|2|CICLISTA |
|003|22:12:23|2|3|CICLISTA |
|004|22:12:25|2|4|CICLISTA |
|006|22:12:28|2|5|CICLISTA |
|007|22:12:30|2|1|CICLISTA |
|008|22:12:31|2|5|CICLISTA |
|010|22:12:36|2|2|CICLISTA |
|013|22:12:41|2|3|CICLISTA |
|019|22:12:56|2|5|CICLISTA |
|020|22:12:59|2|3|CICLISTA |
|023|22:13:04|2|2|CICLISTA |
|025|22:13:08|2|4|CICLISTA |
|026|22:13:11|2|3|CICLISTA |
|031|22:13:24|2|1|CICLISTA |
|036|22:13:41|2|2|CICLISTA |
|037|22:13:43|2|3|CICLISTA |
|038|22:13:46|2|2|CICLISTA |
|039|22:13:47|2|3|CICLISTA |
|041|22:13:51|2|5|CICLISTA |
|044|22:14:01|2|1|CICLISTA |
|045|22:14:02|2|2|CICLISTA |
|049|22:14:12|2|3|CICLISTA |
|051|22:14:15|2|2|CICLISTA |
|052|22:14:18|2|5|CICLISTA |
|053|22:14:20|2|5|CICLISTA |
|056|22:14:28|2|3|CICLISTA |
|059|22:14:36|2|3|CICLISTA |
|060|22:14:38|2|5|CICLISTA |
|061|22:14:41|2|3|CICLISTA |
|064|22:14:47|2|1|CICLISTA |
|069|22:15:00|2|5|CICLISTA |
|075|22:15:16|2|5|CICLISTA |
|076|22:15:17|2|4|CICLISTA |
|077|22:15:20|2|1|CICLISTA |
|079|22:15:22|2|5|CICLISTA |
|080|22:15:23|2|3|CICLISTA |
|083|22:15:30|2|5|CICLISTA |
|089|22:15:48|2|1|CICLISTA |
|090|22:15:49|2|3|CICLISTA |
|092|22:15:54|2|4|CICLISTA |
|093|22:15:55|2|4|CICLISTA |
|094|22:15:58|2|5|CICLISTA |
|096|22:16:02|2|4|CICLISTA |
|097|22:16:03|2|3|CICLISTA |
|100|22:16:07|2|2|CICLISTA |
|104|22:16:20|2|4|CICLISTA |
|105|22:16:22|2|1|CICLISTA |
