|_ID|HO_LLEGA|P|TIME_P|T_TRAFICO|
|002|22:12:22|1|2|PEATON   |
|005|22:12:27|1|1|PEATON   |
|022|22:13:01|1|5|PEATON   |
|027|22:13:12|1|1|PEATON   |
|029|22:13:19|1|1|PEATON   |
|035|22:13:37|1|5|PEATON   |
|047|22:14:09|1|3|PEATON   |
|048|22:14:10|1|3|PEATON   |
|055|22:14:26|1|4|PEATON   |
|062|22:14:43|1|1|PEATON   |
|066|22:14:52|1|4|PEATON   |
|067|22:14:56|1|1|PEATON   |
|068|22:14:59|1|5|PEATON   |
|074|22:15:13|1|5|PEATON   |
|078|22:15:21|1|1|PEATON   |
|082|22:15:27|1|4|PEATON   |
|088|22:15:45|1|5|PEATON   |
|095|22:16:00|1|5|PEATON   |
|101|22:16:10|1|1|PEATON   |
|102|22:16:14|1|3|PEATON   |
