ID|HLLEGADA|H_SALIDA|CPU|PRIORIDAD
01|19:32:36|23:22:09|04|01
02|19:32:38|23:22:13|03|01
08|19:32:46|23:22:16|01|01
13|19:32:54|23:22:17|04|01
17|19:33:01|23:22:21|01|01
18|19:33:03|23:22:22|04|01
19|19:33:05|23:22:26|01|01
21|19:33:09|23:22:27|04|01
22|19:33:10|23:22:31|04|01
23|19:33:12|23:22:35|02|01
27|19:33:18|23:22:37|04|01
28|19:33:20|23:22:41|01|01
29|19:33:22|23:22:42|01|01
31|19:33:25|23:22:43|03|01
40|19:33:40|23:22:46|04|01
58|19:34:06|23:22:50|02|01
60|19:34:10|23:22:53|01|01
62|19:34:13|23:22:54|01|01
68|19:34:21|23:22:55|04|01
75|19:34:30|23:22:59|04|01
05|19:32:42|23:23:03|02|02
09|19:32:48|23:23:05|01|02
24|19:33:14|23:23:06|01|02
25|19:33:15|23:23:07|03|02
34|19:33:30|23:23:10|02|02
42|19:33:42|23:23:12|04|02
51|19:33:58|23:23:16|03|02
55|19:34:03|23:23:19|03|02
57|19:34:05|23:23:22|01|02
67|19:34:20|23:23:23|01|02
73|19:34:28|23:23:24|03|02
74|19:34:29|23:23:27|02|02
78|19:34:35|23:23:29|04|02
04|19:32:40|23:23:33|02|03
06|19:32:43|23:23:35|04|03
10|19:32:49|23:23:39|04|03
14|19:32:55|23:23:43|01|03
20|19:33:07|23:23:44|04|03
26|19:33:17|23:23:48|04|03
35|19:33:32|23:23:52|04|03
44|19:33:46|23:23:56|04|03
45|19:33:48|23:24:00|04|03
48|19:33:53|23:24:04|01|03
49|19:33:54|23:24:05|03|03
59|19:34:08|23:24:08|01|03
72|19:34:27|23:24:09|03|03
76|19:34:32|23:24:12|04|03
77|19:34:34|23:24:16|04|03
79|19:34:37|23:24:20|01|03
03|19:32:39|23:24:21|02|04
11|19:32:50|23:24:23|03|04
16|19:32:59|23:24:26|02|04
33|19:33:29|23:24:28|01|04
39|19:33:39|23:24:29|02|04
43|19:33:44|23:24:31|01|04
50|19:33:56|23:24:32|01|04
53|19:34:01|23:24:33|03|04
56|19:34:04|23:24:36|02|04
61|19:34:11|23:24:38|03|04
65|19:34:17|23:24:41|01|04
71|19:34:26|23:24:42|04|04
07|19:32:44|23:24:46|04|05
12|19:32:52|23:24:50|04|05
15|19:32:57|23:24:54|04|05
30|19:33:23|23:24:58|02|05
32|19:33:27|23:25:00|03|05
36|19:33:34|23:25:03|04|05
37|19:33:36|23:25:07|04|05
38|19:33:38|23:25:11|02|05
41|19:33:41|23:25:13|03|05
46|19:33:49|23:25:16|02|05
47|19:33:51|23:25:18|01|05
52|19:33:59|23:25:19|03|05
54|19:34:02|23:25:22|03|05
63|19:34:14|23:25:25|02|05
64|19:34:16|23:25:27|04|05
66|19:34:18|23:25:31|04|05
69|19:34:23|23:25:35|04|05
70|19:34:24|23:25:39|03|05
