ID|HLLEGADA|H_SALIDA|CPU|PRIORIDAD
01|19:17:44|20:21:32|03|01
07|19:17:58|20:21:35|04|01
08|19:18:02|20:21:39|01|01
13|19:18:13|20:21:40|04|01
34|19:19:11|20:21:44|04|01
47|19:19:41|20:21:48|03|01
48|19:19:44|20:21:52|02|01
64|19:20:27|20:21:54|02|01
65|19:20:29|20:21:56|03|01
73|19:20:47|20:21:59|04|01
79|19:21:07|20:22:03|01|01
10|19:18:06|20:22:04|01|02
14|19:18:17|20:22:05|01|02
17|19:18:22|20:22:06|02|02
19|19:18:26|20:22:08|04|02
21|19:18:33|20:22:12|04|02
30|19:18:59|20:22:16|04|02
31|19:19:03|20:22:20|01|02
39|19:19:21|20:22:21|03|02
42|19:19:27|20:22:24|04|02
50|19:19:50|20:22:28|01|02
63|19:20:26|20:22:29|01|02
69|19:20:37|20:22:30|01|02
71|19:20:39|20:22:31|04|02
74|19:20:51|20:22:35|02|02
77|19:20:59|20:22:37|04|02
80|19:21:08|20:22:41|02|02
04|19:17:50|20:22:43|03|03
12|19:18:09|20:22:46|04|03
20|19:18:30|20:22:50|03|03
22|19:18:37|20:22:53|02|03
24|19:18:43|20:22:55|01|03
26|19:18:47|20:22:56|03|03
33|19:19:07|20:22:59|04|03
36|19:19:16|20:23:03|01|03
40|19:19:24|20:23:04|02|03
43|19:19:31|20:23:06|03|03
44|19:19:34|20:23:09|01|03
45|19:19:35|20:23:10|02|03
46|19:19:37|20:23:12|04|03
49|19:19:46|20:23:16|04|03
51|19:19:51|20:23:20|04|03
53|19:19:58|20:23:24|01|03
55|19:20:00|20:23:25|03|03
56|19:20:03|20:23:28|03|03
67|19:20:33|20:23:31|01|03
70|19:20:38|20:23:32|01|03
02|19:17:47|20:23:33|02|04
03|19:17:49|20:23:35|01|04
06|19:17:55|20:23:36|03|04
09|19:18:03|20:23:39|03|04
15|19:18:18|20:23:42|03|04
18|19:18:24|20:23:45|02|04
23|19:18:39|20:23:47|04|04
29|19:18:57|20:23:51|02|04
35|19:19:15|20:23:53|01|04
38|19:19:20|20:23:54|01|04
41|19:19:26|20:23:55|01|04
52|19:19:55|20:23:56|03|04
58|19:20:10|20:23:59|03|04
59|19:20:13|20:24:02|04|04
60|19:20:17|20:24:06|03|04
61|19:20:20|20:24:09|04|04
62|19:20:24|20:24:13|02|04
66|19:20:32|20:24:15|01|04
68|19:20:34|20:24:16|03|04
78|19:21:03|20:24:19|04|04
05|19:17:53|20:24:23|02|05
11|19:18:07|20:24:25|02|05
16|19:18:21|20:24:27|01|05
25|19:18:44|20:24:28|03|05
27|19:18:50|20:24:31|03|05
28|19:18:53|20:24:34|04|05
32|19:19:04|20:24:38|03|05
37|19:19:17|20:24:41|03|05
54|19:19:59|20:24:44|01|05
57|19:20:06|20:24:45|04|05
72|19:20:43|20:24:49|04|05
75|19:20:53|20:24:53|02|05
76|19:20:55|20:24:55|04|05
